$summary
                  mean      se_mean           sd          2.5%           25%           50%           75%         97.5%      n_eff      Rhat
beta[1]  -0.0015556330 2.004718e-05 0.0008582783 -3.366768e-03 -2.101318e-03 -0.0015288369 -0.0009519047  2.180478e-05 1832.94688 0.9991814
beta[2]  -0.0020774563 1.322872e-05 0.0003878166 -2.810844e-03 -2.343867e-03 -0.0020786255 -0.0018220607 -1.333005e-03  859.44264 0.9986723
beta[3]  -0.0049485112 3.190825e-04 0.0082242045 -2.061537e-02 -1.067471e-02 -0.0048571110  0.0005095275  1.100843e-02  664.32707 1.0008068
beta[4]  -0.0028442926 1.250824e-04 0.0044701995 -1.157657e-02 -6.048861e-03 -0.0028019548  0.0002599132  6.190007e-03 1277.20804 0.9985603
beta[5]  -0.0020378362 2.036704e-04 0.0072103910 -1.561066e-02 -6.694523e-03 -0.0020767673  0.0025601734  1.175036e-02 1253.31910 0.9991915
beta[6]   0.0035632655 1.889620e-04 0.0062512843 -8.734269e-03 -5.723759e-04  0.0035916607  0.0079683638  1.554113e-02 1094.43347 0.9990979
beta[7]  -0.0005053395 1.271996e-05 0.0003579406 -1.250454e-03 -7.463182e-04 -0.0005138032 -0.0002701511  1.736696e-04  791.86379 0.9997524
beta[8]   0.0090992240 2.792087e-04 0.0055144792 -1.724207e-03  5.458332e-03  0.0091855512  0.0128454976  1.954274e-02  390.07774 1.0022855
beta[9]   0.0019632644 1.336259e-05 0.0003927591  1.198722e-03  1.696962e-03  0.0019681738  0.0022550185  2.703171e-03  863.91549 0.9986938
beta[10]  0.0002762903 1.522344e-05 0.0003961146 -5.096712e-04  1.181394e-05  0.0002850301  0.0005549386  1.045705e-03  677.04270 0.9983976
beta[11]  0.0002276832 1.195017e-05 0.0003440189 -4.371708e-04  2.816520e-06  0.0002383643  0.0004685616  9.099471e-04  828.73716 0.9990048
beta[12]  0.0615757375 6.014860e-05 0.0007677842  6.015050e-02  6.104626e-02  0.0616037490  0.0620355317  6.309377e-02  162.93984 1.0106594
beta[13]  0.0006403779 2.347553e-05 0.0004462056 -1.988687e-04  3.349129e-04  0.0006400081  0.0009573363  1.435749e-03  361.27613 1.0027858
beta[14]  0.0003581630 6.152239e-06 0.0002124501 -5.214119e-05  2.147722e-04  0.0003514363  0.0005042411  7.754761e-04 1192.47008 0.9989025
beta[15] -0.0019745065 2.300478e-04 0.0063012288 -1.432041e-02 -6.276073e-03 -0.0021750331  0.0020608791  1.119250e-02  750.26442 1.0002782
beta[16] -0.0010569368 9.736321e-05 0.0008980824 -2.796194e-03 -1.639866e-03 -0.0010812556 -0.0005018298  7.707394e-04   85.08297 1.0028951
beta[17] -0.0123886140 8.727855e-05 0.0009225462 -1.414136e-02 -1.301092e-02 -0.0123696488 -0.0117422876 -1.065195e-02  111.72780 1.0161247
beta[18]  0.0029266103 1.278849e-04 0.0010015289  8.597629e-04  2.276245e-03  0.0029343959  0.0035389621  4.974778e-03   61.33214 1.0282134
beta[19]  0.0256797947 7.186703e-05 0.0007829537  2.421914e-02  2.516308e-02  0.0256719599  0.0261866465  2.726417e-02  118.68963 1.0165801
sigma_e   0.0239469014 4.734583e-06 0.0001376751  2.367986e-02  2.385613e-02  0.0239448704  0.0240425636  2.421520e-02  845.56565 0.9991167
