$summary
                  mean      se_mean           sd         2.5%           25%           50%           75%        97.5%      n_eff      Rhat
beta[1]  -0.0012089082 1.011707e-04 0.0026891223 -0.006496241 -2.986024e-03 -0.0012412413  0.0006029360  0.004098374  706.49864 1.0005419
beta[2]   0.0259064947 3.980609e-05 0.0010096256  0.023981694  2.522757e-02  0.0259098029  0.0266203661  0.027948286  643.31204 0.9994449
beta[3]  -0.0133805244 8.419654e-04 0.0187710252 -0.050648720 -2.602526e-02 -0.0141815473 -0.0006322389  0.023449883  497.03557 0.9998060
beta[4]  -0.0691961036 4.027150e-04 0.0101407412 -0.089108351 -7.606647e-02 -0.0688279957 -0.0624376320 -0.048987967  634.07959 1.0025341
beta[5]   0.0770111243 6.322020e-04 0.0162573568  0.044908643  6.594422e-02  0.0768264562  0.0882818694  0.108252706  661.28418 0.9987282
beta[6]   0.0720891792 6.950524e-04 0.0148447255  0.044442392  6.244677e-02  0.0722889186  0.0818549262  0.101629296  456.15169 1.0035630
beta[7]  -0.0095809121 4.070529e-05 0.0008787190 -0.011340438 -1.014326e-02 -0.0095662869 -0.0090095128 -0.007851298  466.01329 0.9999702
beta[8]  -0.0377663387 9.676458e-04 0.0153242207 -0.068859191 -4.753370e-02 -0.0375576014 -0.0267962805 -0.009187338  250.79796 1.0012992
beta[9]  -0.0092762123 4.593093e-05 0.0009904720 -0.011131880 -9.960107e-03 -0.0092540119 -0.0085944553 -0.007443662  465.02237 1.0002324
beta[10] -0.0032498595 4.224612e-05 0.0009740495 -0.005278389 -3.915396e-03 -0.0032225430 -0.0025989930 -0.001417471  531.60410 0.9989719
beta[11] -0.0086172560 3.211933e-05 0.0008025706 -0.010199126 -9.134676e-03 -0.0086274238 -0.0080601547 -0.007017169  624.35783 1.0017874
beta[12] -0.0910175570 1.300648e-04 0.0017076659 -0.094616152 -9.209485e-02 -0.0909839117 -0.0898515067 -0.087754643  172.37965 1.0105086
beta[13]  0.0008049912 6.982193e-05 0.0012181107 -0.001652193  6.495919e-05  0.0008101718  0.0016007720  0.003160304  304.36157 1.0000501
beta[14] -0.0022089736 1.728650e-05 0.0005630579 -0.003341438 -2.579371e-03 -0.0021860446 -0.0018175872 -0.001155450 1060.94211 0.9990502
beta[15] -0.0543552013 7.729640e-04 0.0155083736 -0.085759591 -6.468017e-02 -0.0545414787 -0.0435840452 -0.025400118  402.54453 1.0059736
beta[16]  0.0047977969 7.041429e-04 0.0035477638 -0.001645800  2.255423e-03  0.0049577041  0.0074809756  0.011150808   25.38562 1.0515750
beta[17]  0.0476046812 7.625841e-04 0.0029812554  0.041768205  4.569734e-02  0.0475966111  0.0495688309  0.053661541   15.28350 1.1164762
beta[18] -0.0002123128 3.225591e-04 0.0026337711 -0.005549106 -2.030546e-03 -0.0003233070  0.0015459081  0.005030161   66.67109 1.0345884
beta[19] -0.0149254436 1.067159e-04 0.0015249429 -0.017785922 -1.592509e-02 -0.0149848730 -0.0139047391 -0.011915076  204.19690 1.0070853
sigma_e   0.0944932496 1.056245e-05 0.0003827758  0.093724456  9.422778e-02  0.0944971181  0.0947552973  0.095192546 1313.28697 0.9985577


