$summary
                  mean      se_mean           sd         2.5%          25%           50%          75%        97.5%      n_eff      Rhat
beta[1]   5.300998e-03 1.276528e-04 0.0048365975 -0.004435003  0.002348414  0.0054428071  0.008501587  0.014479265 1435.55233 0.9993144
beta[2]  -3.711382e-05 9.887859e-05 0.0024999605 -0.004791157 -0.001819745 -0.0000837104  0.001672365  0.005134959  639.23686 1.0002733
beta[3]  -9.560159e-02 1.960168e-03 0.0509709532 -0.193627082 -0.130184828 -0.0961996813 -0.060499535 -0.001555350  676.17452 0.9991906
beta[4]  -5.100983e-02 1.147150e-03 0.0294336070 -0.107063241 -0.070446565 -0.0516483736 -0.032468611  0.006307483  658.33466 1.0002704
beta[5]   9.322616e-02 1.488978e-03 0.0446611289  0.008185733  0.065694821  0.0936308070  0.121830239  0.182059670  899.66861 1.0007135
beta[6]   5.331885e-02 1.878010e-03 0.0415541201 -0.028705643  0.026127953  0.0542709419  0.080115543  0.136066987  489.59002 0.9986099
beta[7]   3.087993e-02 8.111243e-05 0.0023084233  0.026232989  0.029339151  0.0308964189  0.032467372  0.035487117  809.94604 0.9996770
beta[8]   9.670499e-02 1.946421e-03 0.0384305693  0.023234887  0.072481073  0.0969056508  0.122395250  0.171130894  389.83419 1.0042397
beta[9]   7.294949e-02 1.123218e-04 0.0025221635  0.067771446  0.071186297  0.0730510802  0.074574962  0.077767755  504.21830 0.9996413
beta[10]  2.986798e-02 1.161369e-04 0.0024980309  0.024999674  0.028126624  0.0300238028  0.031514773  0.034451635  462.65313 0.9993870
beta[11] -1.095330e-02 7.631416e-05 0.0020494036 -0.015139245 -0.012315620 -0.0108642760 -0.009633620 -0.006957137  721.18168 1.0000671
beta[12]  1.446965e-01 3.586657e-04 0.0041176022  0.136861751  0.141859000  0.1446082040  0.147555208  0.152530954  131.79808 1.0084794
beta[13]  1.200431e-02 1.372325e-04 0.0028687091  0.006559548  0.010090759  0.0119900855  0.013820887  0.017739198  436.97754 1.0034292
beta[14]  1.157162e-02 5.000145e-05 0.0014852357  0.008832845  0.010513643  0.0115437436  0.012594192  0.014484066  882.31890 0.9986332
beta[15] -1.004649e-02 2.111067e-03 0.0439023751 -0.098249956 -0.038159352 -0.0117832513  0.017908369  0.076017408  432.48593 0.9999251
beta[16] -4.374142e-03 3.815316e-04 0.0045948646 -0.013803877 -0.007402014 -0.0040176472 -0.001181358  0.003816041  145.03884 1.0219913
beta[17]  3.201741e-02 5.891677e-04 0.0055581676  0.020568412  0.028451001  0.0321925530  0.035863603  0.042415245   88.99906 1.0183019
beta[18]  5.734045e-03 4.384797e-04 0.0050996742 -0.004188792  0.002401241  0.0056936190  0.009054626  0.016441847  135.26511 0.9999274
beta[19]  8.098041e-02 2.520323e-04 0.0036114596  0.073555047  0.078592567  0.0809821877  0.083518572  0.088277526  205.33030 1.0145368
sigma_e   2.592050e-01 2.665291e-05 0.0009807751  0.257355418  0.258532105  0.2591947430  0.259846146  0.261056623 1354.09601 0.9982143

$c_summary
, , chains = chain:1

          stats
parameter           mean          sd         2.5%          25%          50%          75%        97.5%
  beta[1]   0.0054857819 0.004957102 -0.004696197  0.002528011  0.005698443  0.008937612  0.014394262
  beta[2]  -0.0001406843 0.002594283 -0.004844357 -0.001838758 -0.000278769  0.001673799  0.005548659
  beta[3]  -0.0951989981 0.050157654 -0.194780898 -0.125751762 -0.097924427 -0.061771355 -0.004810763
  beta[4]  -0.0504810846 0.028981005 -0.105588748 -0.070176483 -0.049936638 -0.031502269  0.005355541
  beta[5]   0.0926587161 0.043679034  0.012216666  0.065465197  0.091894117  0.120822861  0.182413434
  beta[6]   0.0528505179 0.041779606 -0.032289575  0.026088171  0.054309147  0.078764074  0.134679445
  beta[7]   0.0309355517 0.002244203  0.026350805  0.029514456  0.030955187  0.032380295  0.035516756
  beta[8]   0.0969001199 0.038442123  0.024128423  0.072362394  0.098222822  0.123834114  0.167483717
  beta[9]   0.0729451422 0.002489670  0.067882878  0.071311610  0.073040562  0.074506033  0.077737646
  beta[10]  0.0298768754 0.002440816  0.025198442  0.028112787  0.030108409  0.031496924  0.034434665
  beta[11] -0.0110664104 0.002151389 -0.015356262 -0.012576283 -0.010981809 -0.009663470 -0.006934140
  beta[12]  0.1443653379 0.003961605  0.136767096  0.141659522  0.144332246  0.146965561  0.152015456
  beta[13]  0.0118978503 0.002974440  0.006380224  0.009906947  0.011955074  0.013693513  0.017793980
  beta[14]  0.0115693516 0.001524552  0.008765180  0.010501437  0.011517184  0.012608679  0.014498867
  beta[15] -0.0096099099 0.044608288 -0.099258557 -0.041832403 -0.010416980  0.018675530  0.072534132
  beta[16] -0.0043270746 0.004022031 -0.012053723 -0.007225203 -0.004135061 -0.001464829  0.003002658
  beta[17]  0.0328290676 0.005577695  0.020625724  0.029519029  0.033145271  0.036462433  0.043384671
  beta[18]  0.0055627665 0.005208595 -0.004191154  0.002090239  0.005313501  0.008917256  0.016969117
  beta[19]  0.0813782975 0.003621157  0.074439418  0.078990583  0.081593151  0.084059090  0.088541832
  sigma_e   0.2592220464 0.000987874  0.257390335  0.258504832  0.259188975  0.259871234  0.261250442

, , chains = chain:2

          stats
parameter           mean           sd         2.5%          25%          50%           75%        97.5%
  beta[1]   5.116214e-03 0.0047107264 -0.003998865  0.002200136  0.005114196  0.0080284109  0.014516790
  beta[2]   6.645669e-05 0.0024000687 -0.004713947 -0.001724826  0.000160346  0.0016723651  0.004881474
  beta[3]  -9.600417e-02 0.0518186022 -0.192073959 -0.133246970 -0.095002756 -0.0590456308  0.001693803
  beta[4]  -5.153858e-02 0.0298990247 -0.108886929 -0.071398328 -0.052703976 -0.0336436599  0.009637405
  beta[5]   9.379360e-02 0.0456588088  0.006397017  0.066062142  0.095266578  0.1233395676  0.174248592
  beta[6]   5.378718e-02 0.0413639355 -0.025999645  0.026127953  0.053695735  0.0805052531  0.135852492
  beta[7]   3.082431e-02 0.0023718488  0.026205752  0.029141305  0.030806560  0.0325710643  0.035442786
  beta[8]   9.650986e-02 0.0384565197  0.023229254  0.072849280  0.096148564  0.1218826224  0.176531293
  beta[9]   7.295384e-02 0.0025567302  0.067780424  0.071071695  0.073051080  0.0747081136  0.077750892
  beta[10]  2.985908e-02 0.0025563799  0.024628455  0.028175449  0.029983935  0.0315421878  0.034684342
  beta[11] -1.084019e-02 0.0019376307 -0.014949752 -0.012053953 -0.010770393 -0.0096172962 -0.007021309
  beta[12]  1.450277e-01 0.0042460782  0.136975795  0.142110975  0.145071298  0.1480009556  0.153403030
  beta[13]  1.211077e-02 0.0027578018  0.007034489  0.010213059  0.012081731  0.0138583885  0.017600422
  beta[14]  1.157388e-02 0.0014463757  0.008847437  0.010540438  0.011560031  0.0125899374  0.014465201
  beta[15] -1.048307e-02 0.0432252042 -0.095950129 -0.035860288 -0.013001455  0.0174058474  0.076380708
  beta[16] -4.421210e-03 0.0051075142 -0.015246418 -0.007756494 -0.003837214 -0.0008307327  0.004153315
  beta[17]  3.120575e-02 0.0054237867  0.020470282  0.027666811  0.031096577  0.0347154782  0.041549202
  beta[18]  5.905323e-03 0.0049877067 -0.004145404  0.002599310  0.005960681  0.0093559204  0.015584531
  beta[19]  8.058252e-02 0.0035610917  0.073226614  0.078342041  0.080640029  0.0829138128  0.087430133
  sigma_e   2.591879e-01 0.0009743137  0.257291793  0.258542659  0.259204606  0.2598166589  0.260912216


